LONG_NAME,LIFESTYLE_CAT,ADDR,ICON,ICON_STR,COLOR,PYCOLOR,lat,long,APT_CLUST
LAX,Airport,"1 World Way, Los Angeles, CA 90045",plane-departure,plane,#00A7CF,cadetblue,33.9459832,-118.4013208,99
SFO,Airport,"780 S Airport Blvd, San Francisco, CA 94128",plane-departure,plane,#005D7B,cadetblue,37.622451999999996,-122.3839894,99
ATL,Airport,"6000 North Terminal Pkwy, Atlanta, GA 30320",plane-departure,plane,#D41042,cadetblue,33.63740085,-84.42981607,99
DEN,Airport,"8500 Pena Blvd, Denver, CO 80249",plane-departure,plane,#440099,cadetblue,39.8410082,-104.7352219,99
LAS,Airport,"5757 Wayne Newton Blvd, Las Vegas, NV 89119",plane-departure,plane,#071D49,cadetblue,36.0861034,-115.1611198,99
ONT,Airport,"2900 E Airport Dr, Ontario, CA 91761",plane-departure,plane,#21418B,cadetblue,34.0603862,-117.5898177,99
807 West,Apartment,"807 W Blaine St, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9830862,-117.3292978,0
Arbor Apartments,Apartment,"22985 Climbing Rose Dr, Moreno Valley, CA 92557",house-chimney,house,#F49ECB,pink,33.9496203,-117.2616389,3
Ardella at Reche Ridge,Apartment,"2270 Cahuilla St, Colton, CA 92324",house-chimney,house,#F49ECB,pink,34.045402,-117.2883341,5
Ardella on Chagall,Apartment,"13933 Chagall Ct, Moreno Valley, CA 92553",house-chimney,house,#F49ECB,pink,33.9180831,-117.2568721,3
Arlington Gardens,Apartment,"4661 Arlington Ave, Riverside, CA 92504",house-chimney,house,#F49ECB,pink,33.9463182,-117.4044145,1
Asante Villas Apartments,Apartment,"23925 Bay Ave, Moreno Valley, CA 92553",house-chimney,house,#F49ECB,pink,33.9208406,-117.2449824,3
Berkdale Apartments,Apartment,"1234 W Blaine St, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.982253,-117.3380504,0
Boulder Creek,Apartment,"2442 Iowa Ave, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9890839,-117.3393155,0
Cambria Park Apartments,Apartment,"25284 Park Ave, Loma Linda, CA 92354",house-chimney,house,#F49ECB,pink,34.0602822,-117.2523737,5
Canyon Crest,Apartment,"1550 Central Ave, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.955212,-117.3456902,0
Canyon Crest Views Apartments,Apartment,"5253 El Cerrito Dr, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9555705,-117.3336501,0
Canyon Crest Village Apartments,Apartment,"5200 Chicago Ave, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9580342,-117.3463894,0
Canyon Park,Apartment,"3100 Van Buren Blvd, Riverside, CA 92503",house-chimney,house,#F49ECB,pink,33.9097139,-117.4398853,1
Casa Mediterrania,Apartment,"1043 Santo Antonio Dr, Colton, CA 92324",house-chimney,house,#F49ECB,pink,34.0523071,-117.3112793,5
Castlerock,Apartment,"5700 Lochmoor Dr, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9477003,-117.3030833,4
Centerpointe at Market,Apartment,"3145 Market St, Riverside, CA 92501",house-chimney,house,#F49ECB,pink,33.98888016167695,-117.3715413,2
CENTREPOINTE,Apartment,"1401 E Santo Antonio Dr, Colton, CA 92324",house-chimney,house,#F49ECB,pink,34.0517334,-117.3062761,5
Chancellor Arms,Apartment,"1436 7th St, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9768156,-117.3425593,0
Citron Apartment Homes,Apartment,"3661 Merrill Ave, Riverside, CA 92506",house-chimney,house,#F49ECB,pink,33.95664261789426,-117.3923301,1
