LONG_NAME,LIFESTYLE_CAT,ADDR,ICON,COLOR
ONT,Airport,"Terminal 2, 2500 E Terminal Wy, Ontario, CA 91761",fa-airplane,lightgray
LAX,Airport,"1 World Way, Los Angeles, CA 90045",fa-airplane,lightgray
Mission Lofts,Apartment,"3050 Mission Inn Ave, Riverside, CA 92507",fa-building,pink
Imperial Hardware Lofts,Apartment,"3750 Main St, Riverside, CA 92501",fa-building,pink
MARK Riverside,Apartment,"3777 Mission Inn Ave, Riverside, CA 92501",fa-building,pink
Centerpointe at Market,Apartment,"3145 Market St, Riverside, CA 92501",fa-building,pink
Citron Apartment Homes,Apartment,"3661 Merrill Ave, Riverside, CA 92506",fa-building,pink
The Met Apartments,Apartment,"2770 Atlanta Ave, Riverside, CA 92507",fa-building,pink
Madison Park,Apartment,"3571 Madison St, Riverside, CA 92504",fa-building,pink
Castlerock,Apartment,"5700 Lochmoor Dr, Riverside, CA 92507",fa-building,pink
Villa Camille Apartments,Apartment,"13068 Edgemont St, Moreno Valley, CA 92553",fa-building,pink
Sorano Apartments,Apartment,"12406 Clark St, Moreno Valley, CA 92557",fa-building,pink
The Hawthorne,Apartment,"9170 Indiana Ave, Riverside, CA 92503",fa-building,pink
Ulta,Beauty,"3625 Riverside Plaza Dr, Riverside, CA 92506",fa-shopping-cart,magenta
Ulta,Beauty,"12625 Frederick St G 1, Moreno Valley, CA 92553",fa-shopping-cart,magenta
Ulta,Beauty,"1512 S Riverside Ave, Rialto, CA 92376",fa-shopping-cart,magenta
Ulta,Beauty,"3502 Tyler St Ste 101, Riverside, CA 92503",fa-shopping-cart,magenta
Ulta,Beauty,"27461 San Bernardino Ave Suite 150, Redlands, CA 92374",fa-shopping-cart,magenta
Ulta,Beauty,"1215 W Renaissance Pkwy Suite 650, Rialto, CA 92376",fa-shopping-cart,magenta
Ulta,Beauty,"1688 N Perris Blvd, Perris, CA 92571",fa-shopping-cart,magenta
